sigma	a	N
0	10	3348
-0.001	10	3348
-0.002	10	3348
-0.003	10	3348
-0.004	10	3348
-0.005	10	3348
-0.006	10	3348
-0.007	10	3348
-0.008	10	3348
-0.009	10	3348
-0.01	10	3348
-0.011	10	3348
-0.012	10	3348
-0.013	10	3348
-0.014	10	3348
-0.0151	10	3348
-0.0161	10	3348
-0.0171	10	3348
-0.0181	10	3348
-0.0191	10	3348
-0.0201	10	3348
-0.0211	10	3348
-0.0221	10	3348
-0.0231	10	3348
-0.0241	10	3348
-0.0251	10	3348
-0.0261	10	3348
-0.0271	10	3348
-0.0281	10	3348
-0.0291	10	3348
-0.0301	10	3348
-0.0311	10	3348
-0.0321	10	3348
-0.0331	10	3348
-0.0341	10	3348
-0.0351	10	3348
-0.0361	10	3348
-0.0371	10	3348
-0.0381	10	3348
-0.0391	10	3348
-0.0401	10	3348
-0.0411	10	3348
-0.0421	10	3348
-0.0431	10	3348
-0.0441	10	3348
-0.0452	10	3348
-0.0462	10	3348
-0.0472	10	3348
-0.0482	10	3348
-0.0492	10	3348
-0.0502	10	3348
-0.0512	10	3348
-0.0522	10	3348
-0.0532	10	3348
-0.0542	10	3348
-0.0552	10	3348
-0.0562	10	3348
-0.0572	10	3348
-0.0582	10	3348
-0.0592	10	3348
-0.0602	10	3348
-0.0612	10	3348
-0.0622	10	3348
-0.0632	10	3348
-0.0642	10	3348
-0.0652	10	3348
-0.0662	10	3348
-0.0672	10	3348
-0.0682	10	3348
-0.0692	10	3348
-0.0702	10	3348
-0.0712	10	3348
-0.0722	10	3348
-0.0732	10	3348
-0.0742	10	3348
-0.0753	10	3348
-0.0763	10	3348
-0.0773	10	3348
-0.0783	10	3348
-0.0793	10	3348
-0.0803	10	3348
-0.0813	10	3348
-0.0823	10	3348
-0.0833	10	3348
-0.0843	10	3348
-0.0853	10	3348
-0.0863	10	3348
-0.0873	10	3348
-0.0883	10	3348
-0.0893	10	3348
-0.0903	10	3348
-0.0913	10	3348
-0.0923	10	3348
-0.0933	10	3348
-0.0943	10	3348
-0.0953	10	3348
-0.0963	10	3348
-0.0973	10	3348
-0.0983	10	3348
-0.0993	10	3348
-0.1003	10	3348
-0.1013	10	3348
-0.1023	10	3348
-0.1033	10	3348
-0.1043	10	3348
-0.1054	10	3348
-0.1064	10	3348
-0.1074	10	3348
-0.1084	10	3348
-0.1094	10	3348
-0.1104	10	3348
-0.1114	10	3348
-0.1124	10	3348
-0.1134	10	3348
-0.1144	10	3348
-0.1154	10	3348
-0.1164	10	3348
-0.1174	10	3348
-0.1184	10	3348
-0.1194	10	3348
-0.1204	10	3348
-0.1214	10	3348
-0.1224	10	3348
-0.1234	10	3348
-0.1244	10	3348
-0.1254	10	3348
-0.1264	10	3348
-0.1274	10	3348
-0.1284	10	3348
-0.1294	10	3348
-0.1304	10	3348
-0.1314	10	3348
-0.1324	10	3348
-0.1334	10	3348
-0.1344	10	3348
-0.1355	10	3348
-0.1365	10	3348
-0.1375	10	3348
-0.1385	10	3348
-0.1395	10	3348
-0.1405	10	3348
-0.1415	10	3348
-0.1425	10	3348
-0.1435	10	3348
-0.1445	10	3348
-0.1455	10	3348
-0.1465	10	3348
-0.1475	10	3348
-0.1485	10	3348
-0.1495	10	3348
-0.1505	10	3348
-0.1515	10	3348
-0.1525	10	3348
-0.1535	10	3348
-0.1545	10	3348
-0.1555	10	3348
-0.1565	10	3348
-0.1575	10	3348
-0.1585	10	3348
-0.1595	10	3348
-0.1605	10	3348
-0.1615	10	3348
-0.1625	10	3348
-0.1635	10	3348
-0.1645	10	3348
-0.1656	10	3348
-0.1666	10	3348
-0.1676	10	3348
-0.1686	10	3348
-0.1696	10	3348
-0.1706	10	3348
-0.1716	10	3348
-0.1726	10	3348
-0.1736	10	3348
-0.1746	10	3348
-0.1756	10	3348
-0.1766	10	3348
-0.1776	10	3348
-0.1786	10	3348
-0.1796	10	3348
-0.1806	10	3348
-0.1816	10	3348
-0.1826	10	3348
-0.1836	10	3348
-0.1846	10	3348
-0.1856	10	3348
-0.1866	10	3348
-0.1876	10	3348
-0.1886	10	3348
-0.1896	10	3348
-0.1906	10	3348
-0.1916	10	3348
-0.1926	10	3348
-0.1936	10	3348
-0.1946	10	3348
-0.1957	10	3348
-0.1967	10	3348
-0.1977	10	3348
-0.1987	10	3348
-0.1997	10	3348
-0.2007	10	3348
-0.2017	10	3348
-0.2027	10	3348
-0.2037	10	3348
-0.2047	10	3348
-0.2057	10	3348
-0.2067	10	3348
-0.2077	10	3348
-0.2087	10	3348
-0.2097	10	3348
-0.2107	10	3348
-0.2117	10	3348
-0.2127	10	3348
-0.2137	10	3348
-0.2147	10	3348
-0.2157	10	3348
-0.2167	10	3348
-0.2177	10	3348
-0.2187	10	3348
-0.2197	10	3348
-0.2207	10	3348
-0.2217	10	3348
-0.2227	10	3348
-0.2237	10	3348
-0.2247	10	3348
-0.2258	10	3348
-0.2268	10	3348
-0.2278	10	3348
-0.2288	10	3348
-0.2298	10	3348
-0.2308	10	3348
-0.2318	10	3348
-0.2328	10	3348
-0.2338	10	3348
-0.2348	10	3348
-0.2358	10	3348
-0.2368	10	3348
-0.2378	10	3348
-0.2388	10	3348
-0.2398	10	3348
-0.2408	10	3348
-0.2418	10	3348
-0.2428	10	3348
-0.2438	10	3348
-0.2448	10	3348
-0.2458	10	3348
-0.2468	10	3348
-0.2478	10	3348
-0.2488	10	3348
-0.2498	10	3348
-0.2508	10	3348
-0.2518	10	3348
-0.2528	10	3348
-0.2538	10	3348
-0.2548	10	3348
-0.2559	10	3348
-0.2569	10	3348
-0.2579	10	3348
-0.2589	10	3348
-0.2599	10	3348
-0.2609	10	3348
-0.2619	10	3348
-0.2629	10	3348
-0.2639	10	3348
-0.2649	10	3348
-0.2659	10	3348
-0.2669	10	3348
-0.2679	10	3348
-0.2689	10	3348
-0.2699	10	3348
-0.2709	10	3348
-0.2719	10	3348
-0.2729	10	3348
-0.2739	10	3348
-0.2749	10	3348
-0.2759	10	3348
-0.2769	10	3348
-0.2779	10	3348
-0.2789	10	3348
-0.2799	10	3348
-0.2809	10	3348
-0.2819	10	3348
-0.2829	10	3348
-0.2839	10	3348
-0.2849	10	3348
-0.286	10	3348
-0.287	10	3348
-0.288	10	3348
-0.289	10	3348
-0.29	10	3348
-0.291	10	3348
-0.292	10	3348
-0.293	10	3348
-0.294	10	3348
-0.295	10	3348
-0.296	10	3348
-0.297	10	3348
-0.298	10	3348
-0.299	10	3348
-0.3	10	3348
0	20	3348
-0.001	20	3348
-0.002	20	3348
-0.003	20	3348
-0.004	20	3348
-0.005	20	3348
-0.006	20	3348
-0.007	20	3348
-0.008	20	3348
-0.009	20	3348
-0.01	20	3348
-0.011	20	3348
-0.012	20	3348
-0.013	20	3348
-0.014	20	3348
-0.0151	20	3348
-0.0161	20	3348
-0.0171	20	3348
-0.0181	20	3348
-0.0191	20	3348
-0.0201	20	3348
-0.0211	20	3348
-0.0221	20	3348
-0.0231	20	3348
-0.0241	20	3348
-0.0251	20	3348
-0.0261	20	3348
-0.0271	20	3348
-0.0281	20	3348
-0.0291	20	3348
-0.0301	20	3348
-0.0311	20	3348
-0.0321	20	3348
-0.0331	20	3348
-0.0341	20	3348
-0.0351	20	3348
-0.0361	20	3348
-0.0371	20	3348
-0.0381	20	3348
-0.0391	20	3348
-0.0401	20	3348
-0.0411	20	3348
-0.0421	20	3348
-0.0431	20	3348
-0.0441	20	3348
-0.0452	20	3348
-0.0462	20	3348
-0.0472	20	3348
-0.0482	20	3348
-0.0492	20	3348
-0.0502	20	3348
-0.0512	20	3348
-0.0522	20	3348
-0.0532	20	3348
-0.0542	20	3348
-0.0552	20	3348
-0.0562	20	3348
-0.0572	20	3348
-0.0582	20	3348
-0.0592	20	3348
-0.0602	20	3348
-0.0612	20	3348
-0.0622	20	3348
-0.0632	20	3348
-0.0642	20	3348
-0.0652	20	3348
-0.0662	20	3348
-0.0672	20	3348
-0.0682	20	3348
-0.0692	20	3348
-0.0702	20	3348
-0.0712	20	3348
-0.0722	20	3348
-0.0732	20	3348
-0.0742	20	3348
-0.0753	20	3348
-0.0763	20	3348
-0.0773	20	3348
-0.0783	20	3348
-0.0793	20	3348
-0.0803	20	3348
-0.0813	20	3348
-0.0823	20	3348
-0.0833	20	3348
-0.0843	20	3348
-0.0853	20	3348
-0.0863	20	3348
-0.0873	20	3348
-0.0883	20	3348
-0.0893	20	3348
-0.0903	20	3348
-0.0913	20	3348
-0.0923	20	3348
-0.0933	20	3348
-0.0943	20	3348
-0.0953	20	3348
-0.0963	20	3348
-0.0973	20	3348
-0.0983	20	3348
-0.0993	20	3348
-0.1003	20	3348
-0.1013	20	3348
-0.1023	20	3348
-0.1033	20	3348
-0.1043	20	3348
-0.1054	20	3348
-0.1064	20	3348
-0.1074	20	3348
-0.1084	20	3348
-0.1094	20	3348
-0.1104	20	3348
-0.1114	20	3348
-0.1124	20	3348
-0.1134	20	3348
-0.1144	20	3348
-0.1154	20	3348
-0.1164	20	3348
-0.1174	20	3348
-0.1184	20	3348
-0.1194	20	3348
-0.1204	20	3348
-0.1214	20	3348
-0.1224	20	3348
-0.1234	20	3348
-0.1244	20	3348
-0.1254	20	3348
-0.1264	20	3348
-0.1274	20	3348
-0.1284	20	3348
-0.1294	20	3348
-0.1304	20	3348
-0.1314	20	3348
-0.1324	20	3348
-0.1334	20	3348
-0.1344	20	3348
-0.1355	20	3348
-0.1365	20	3348
-0.1375	20	3348
-0.1385	20	3348
-0.1395	20	3348
-0.1405	20	3348
-0.1415	20	3348
-0.1425	20	3348
-0.1435	20	3348
-0.1445	20	3348
-0.1455	20	3348
-0.1465	20	3348
-0.1475	20	3348
-0.1485	20	3348
-0.1495	20	3348
-0.1505	20	3348
-0.1515	20	3348
-0.1525	20	3348
-0.1535	20	3348
-0.1545	20	3348
-0.1555	20	3348
-0.1565	20	3348
-0.1575	20	3348
-0.1585	20	3348
-0.1595	20	3348
-0.1605	20	3348
-0.1615	20	3348
-0.1625	20	3348
-0.1635	20	3348
-0.1645	20	3348
-0.1656	20	3348
-0.1666	20	3348
-0.1676	20	3348
-0.1686	20	3348
-0.1696	20	3348
-0.1706	20	3348
-0.1716	20	3348
-0.1726	20	3348
-0.1736	20	3348
-0.1746	20	3348
-0.1756	20	3348
-0.1766	20	3348
-0.1776	20	3348
-0.1786	20	3348
-0.1796	20	3348
-0.1806	20	3348
-0.1816	20	3348
-0.1826	20	3348
-0.1836	20	3348
-0.1846	20	3348
-0.1856	20	3348
-0.1866	20	3348
-0.1876	20	3348
-0.1886	20	3348
-0.1896	20	3348
-0.1906	20	3348
-0.1916	20	3348
-0.1926	20	3348
-0.1936	20	3348
-0.1946	20	3348
-0.1957	20	3348
-0.1967	20	3348
-0.1977	20	3348
-0.1987	20	3348
-0.1997	20	3348
-0.2007	20	3348
-0.2017	20	3348
-0.2027	20	3348
-0.2037	20	3348
-0.2047	20	3348
-0.2057	20	3348
-0.2067	20	3348
-0.2077	20	3348
-0.2087	20	3348
-0.2097	20	3348
-0.2107	20	3348
-0.2117	20	3348
-0.2127	20	3348
-0.2137	20	3348
-0.2147	20	3348
-0.2157	20	3348
-0.2167	20	3348
