sigma	a	N
0	10	auto
-0.001	10	auto
-0.002	10	auto
-0.003	10	auto
-0.004	10	auto
-0.005	10	auto
-0.006	10	auto
-0.007	10	auto
-0.008	10	auto
-0.009	10	auto
-0.01	10	3348
-0.011	10	3348
-0.012	10	3348
-0.013	10	3348
-0.014	10	3348
-0.016	10	3348
-0.017	10	3348
-0.018	10	3348
-0.019	10	3348
-0.02	10	3348
-0.021	10	3348
-0.022	10	3348
-0.023	10	3348
-0.024	10	3348
-0.025	10	3348
-0.026	10	3348
-0.027	10	3348
-0.028	10	3348
-0.029	10	3348
-0.03	10	3348
0	20	auto
-0.001	20	auto
-0.002	20	auto
-0.003	20	auto
-0.004	20	auto
-0.005	20	auto
-0.006	20	auto
-0.007	20	auto
-0.008	20	auto
-0.009	20	auto
-0.01	20	3348
-0.011	20	3348
-0.012	20	3348
-0.013	20	3348
-0.014	20	3348
-0.016	20	3348
-0.017	20	3348
-0.018	20	3348
-0.019	20	3348
-0.02	20	3348
-0.021	20	3348
-0.022	20	3348
-0.023	20	3348
-0.024	20	3348
-0.025	20	3348
-0.026	20	3348
-0.027	20	3348
-0.028	20	3348
-0.029	20	3348
-0.03	20	3348
